epoch,loss,accuracy,val_loss,val_accuracy
1,6.1464,0.6006,2.7292,0.7561
2,0.9742,0.8742,1.1897,0.8550
3,0.3444,0.9382,1.0475,0.8781
4,0.1460,0.9723,0.9357,0.8781
5,0.0789,0.9794,1.0792,0.8795
6,0.0412,0.9904,0.9870,0.8773
7,0.0431,0.9904,1.0424,0.8831
8,0.0159,0.9947,0.9458,0.8867
9,0.0100,0.9957,0.9031,0.8954
10,0.0531,0.9900,0.9628,0.8867
11,0.0307,0.9925,1.3179,0.8716
12,0.0117,0.9972,1.1093,0.8896
13,0.0053,0.9989,1.0654,0.8824
14,8.1904e-04,1.0000,1.0804,0.8867
15,2.9200e-04,1.0000,1.0956,0.8896
16,3.2899e-04,1.0000,1.0669,0.8918
17,1.3356e-04,1.0000,1.0577,0.8918
18,7.9880e-05,1.0000,1.0553,0.8925
19,8.7628e-05,1.0000,1.0558,0.8932
20,5.6519e-05,1.0000,1.0628,0.8947
